TIM01_CH1	PA8
TIM01_CH1N	PA7
TIM01_CH1N	PB13
TIM01_CH2	PA9
TIM01_CH2N	PB0
TIM01_CH2N	PB14
TIM01_CH3	PA10
TIM01_CH3N	PB1
TIM01_CH3N	PB15
TIM01_CH4	PA11

TIM02_CH1	PA0
TIM02_CH1	PA15
TIM02_CH1	PA5
TIM02_CH1	PB8
TIM02_CH2	PA1
TIM02_CH2	PB3
TIM02_CH2	PB9
TIM02_CH3	PA2
TIM02_CH3	PB10
TIM02_CH4	PA3
TIM02_CH4	PB2

TIM03_CH1	PA6
TIM03_CH1	PB4
TIM03_CH1	PC6
TIM03_CH2	PA7
TIM03_CH2	PB5
TIM03_CH2	PC7
TIM03_CH3	PB0
TIM03_CH3	PC8
TIM03_CH4	PB1
TIM03_CH4	PC9

TIM04_CH1	PB6
TIM04_CH2	PB7
TIM04_CH3	PB8
TIM04_CH4	PB9

TIM05_CH1	PA0
TIM05_CH2	PA1
TIM05_CH3	PA2
TIM05_CH4	PA3

TIM08_CH1	PC6
TIM08_CH1N	PA5
TIM08_CH1N	PA7
TIM08_CH2	PC7
TIM08_CH2N	PB0
TIM08_CH2N	PB14
TIM08_CH3	PC8
TIM08_CH3N	PB1
TIM08_CH3N	PB15
TIM08_CH4	PC9

TIM09_CH1	PA2
TIM09_CH2	PA3

TIM10_CH1	PB8

TIM11_CH1	PB9

TIM12_CH1	PB14
TIM12_CH2	PB15

TIM13_CH1	PA6

TIM14_CH1	PA7
